County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,87028,5225,5150,579,0.059176400000000004,40.71455,-74.00714,2020-04-09 22:52 EDT
Nassau,New York,20140,1592,633,133,0.03143,40.7416523,-73.58899620000001,2020-04-09 22:52 EDT
Suffolk,New York,18803,1795,362,39,0.0192522,40.8773281,-72.85898040000001,2020-04-09 22:52 EDT
Westchester,New York,17004,1117,359,76,0.0211127,41.163197600000004,-73.7560629,2020-04-09 22:52 EDT
Rockland,New York,6665,252,172,18,0.0258065,41.152374,-74.0240103,2020-04-09 22:52 EDT
Orange,New York,4309,234,115,8,0.026688299999999998,41.4020682,-74.30559570000001,2020-04-09 22:52 EDT
Dutchess,New York,1493,98,10,0,0.0066979,41.7647751,-73.7428168,2020-04-09 22:52 EDT
Erie,New York,1440,105,53,8,0.0368056,42.7638212,-78.7322497,2020-04-09 22:52 EDT
Monroe,New York,698,47,40,6,0.057306600000000006,43.1460428,-77.69674909999999,2020-04-09 22:52 EDT
Ulster,New York,462,0,8,1,0.017315999999999998,41.95986,-73.99033,2020-04-09 22:52 EDT
Putnam,New York,456,29,7,0,0.015350899999999999,41.426534499999995,-73.7494999,2020-04-09 22:52 EDT
Onondaga,New York,442,20,7,1,0.0158371,43.004870000000004,-76.1836,2020-04-09 22:52 EDT
Albany,New York,379,37,11,2,0.029023700000000003,42.65155,-73.75520999999999,2020-04-09 22:52 EDT
Sullivan,New York,296,0,7,0,0.0236486,41.7163135,-74.7681108,2020-04-09 22:52 EDT
Saratoga,New York,172,10,4,0,0.0232558,43.06974,-73.63661,2020-04-09 22:52 EDT
Schenectady,New York,167,18,7,0,0.0419162,42.81238,-73.94122,2020-04-09 22:52 EDT
Oneida,New York,158,33,3,1,0.0189873,43.243065,-75.425836,2020-04-09 22:52 EDT
Niagara,New York,155,0,4,3,0.0258065,43.1999815,-78.74522259999999,2020-04-09 22:52 EDT
Tompkins,New York,107,2,0,0,0.0,42.449335,-76.4706436,2020-04-09 22:52 EDT
Broome,New York,105,12,6,0,0.057142899999999996,42.160218,-75.8196459,2020-04-09 22:52 EDT
Madison,New York,102,10,3,0,0.0294118,42.9129075,-75.669789,2020-04-09 22:52 EDT
Rensselaer,New York,102,14,5,2,0.049019599999999997,42.7108626,-73.5097379,2020-04-09 22:52 EDT
Steuben,New York,92,5,6,0,0.0652174,42.2678268,-77.383826,2020-04-09 22:52 EDT
Columbia,New York,83,7,5,1,0.060240999999999996,42.2500108,-73.6318613,2020-04-09 22:52 EDT
St. Lawrence,New York,82,4,0,0,0.0,44.17727,-76.16771999999999,2020-04-09 22:52 EDT
Chemung,New York,59,4,1,0,0.0169492,42.1411881,-76.76001059999999,2020-04-09 22:52 EDT
Genesee,New York,56,9,1,0,0.0178571,43.0009402,-78.1936949,2020-04-09 22:52 EDT
Chenango,New York,55,2,0,0,0.0,42.493494399999996,-75.61153709999999,2020-04-09 22:52 EDT
Ontario,New York,43,4,0,0,0.0,42.852889399999995,-77.299811,2020-04-09 22:52 EDT
Jefferson,New York,42,0,0,0,0.0,44.0410342,-75.9122553,2020-04-09 22:52 EDT
Clinton,New York,40,1,0,0,0.0,44.7904,-73.6006,2020-04-09 22:52 EDT
Warren,New York,40,7,0,0,0.0,43.5592099,-73.8588116,2020-04-09 22:52 EDT
Otsego,New York,39,1,1,0,0.025641000000000004,42.6337375,-75.0325623,2020-04-09 22:52 EDT
Wayne,New York,39,0,0,0,0.0,42.474131,-77.09816,2020-04-09 22:52 EDT
Delaware,New York,37,0,2,1,0.054054099999999994,42.198043299999995,-74.966352,2020-04-09 22:52 EDT
Oswego,New York,36,2,2,0,0.055555600000000004,43.436525700000004,-76.149244,2020-04-09 22:52 EDT
Herkimer,New York,32,3,3,0,0.09375,43.0259,-74.98433,2020-04-09 22:52 EDT
Greene,New York,31,0,0,0,0.0,42.27654570000001,-74.12261590000001,2020-04-09 22:52 EDT
Wyoming,New York,29,2,1,0,0.0344828,42.7024266,-78.22443259999999,2020-04-09 22:52 EDT
Livingston,New York,29,0,2,0,0.0689655,42.728083500000004,-77.7754386,2020-04-09 22:52 EDT
Montgomery,New York,28,10,1,0,0.035714300000000004,42.90229179999999,-74.4396009,2020-04-09 22:52 EDT
Washington,New York,25,5,1,0,0.04,43.312271100000004,-73.4309623,2020-04-09 22:52 EDT
Allegany,New York,22,1,1,0,0.0454545,42.2573979,-78.02755440000001,2020-04-09 22:52 EDT
Chautauqua,New York,22,4,2,0,0.0909091,42.2282627,-79.366433,2020-04-09 22:52 EDT
Orleans,New York,22,6,0,0,0.0,43.2521006,-78.2312468,2020-04-09 22:52 EDT
Cattaraugus,New York,17,2,0,0,0.0,42.2485958,-78.678812,2020-04-09 22:52 EDT
Tioga,New York,17,2,0,0,0.0,42.06057,-76.34519,2020-04-09 22:52 EDT
Cayuga,New York,16,2,1,1,0.0625,42.921452,-76.54917490000001,2020-04-09 22:52 EDT
Cortland,New York,16,0,0,0,0.0,42.5950011,-76.07023740000001,2020-04-09 22:52 EDT
Fulton,New York,15,1,0,0,0.0,43.1124027,-74.4351628,2020-04-09 22:52 EDT
Seneca,New York,15,3,0,0,0.0,42.7900684,-76.8229227,2020-04-09 22:52 EDT
Schoharie,New York,12,0,0,0,0.0,42.5882075,-74.44213590000001,2020-04-09 22:52 EDT
Franklin,New York,11,1,0,0,0.0,44.5926754,-74.3034218,2020-04-09 22:52 EDT
Essex,New York,8,-1,0,0,0.0,44.107557,-73.7912585,2020-04-09 22:52 EDT
Lewis,New York,6,0,0,0,0.0,43.7847339,-75.4487061,2020-04-09 22:52 EDT
Schuyler,New York,4,0,0,0,0.0,42.370639000000004,-76.9851275,2020-04-09 22:52 EDT
Hamilton,New York,3,1,0,0,0.0,43.6613037,-74.49733570000001,2020-04-09 22:52 EDT
Yates,New York,1,0,0,0,0.0,42.6333458,-77.1180768,2020-04-09 22:52 EDT
Bergen,New Jersey,8343,469,345,31,0.041352,40.9594915,-74.074442,2020-04-09 22:52 EDT
Essex,New Jersey,6069,471,321,45,0.05289169999999999,40.7877926,-74.2476006,2020-04-09 22:52 EDT
Hudson,New Jersey,5879,442,132,10,0.0224528,40.740342299999995,-74.07410970000001,2020-04-09 22:52 EDT
Union,New Jersey,5203,372,145,20,0.0278685,40.69635,-74.26957,2020-04-09 22:52 EDT
Passaic,New Jersey,4690,318,82,11,0.017484,40.86034,-74.12374,2020-04-09 22:52 EDT
Middlesex,New Jersey,4628,472,152,13,0.0328436,40.57936,-74.50067,2020-04-09 22:52 EDT
Monmouth,New Jersey,3248,210,98,12,0.0301724,40.2600411,-74.2219463,2020-04-09 22:52 EDT
Ocean,New Jersey,3093,237,119,18,0.038474,39.90927429999999,-74.2969653,2020-04-09 22:52 EDT
Morris,New Jersey,2645,177,117,15,0.0442344,40.862019000000004,-74.5442741,2020-04-09 22:52 EDT
Somerset,New Jersey,1335,175,59,13,0.044194800000000006,40.49859,-74.52249,2020-04-09 22:52 EDT
Mercer,New Jersey,1161,169,36,8,0.0310078,40.2833191,-74.70157370000001,2020-04-09 22:52 EDT
Camden,New Jersey,990,152,23,1,0.023232299999999997,39.94525,-75.11913,2020-04-09 22:52 EDT
Burlington,New Jersey,883,82,21,4,0.0237826,40.07687,-74.85775,2020-04-09 22:52 EDT
Gloucester,New Jersey,413,73,8,1,0.019370500000000002,39.7172011,-75.1416437,2020-04-09 22:52 EDT
Sussex,New Jersey,392,35,21,0,0.053571400000000005,41.139345,-74.6906776,2020-04-09 22:52 EDT
