County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,20011,6892,280,280,0.013992300000000001,40.71455,-74.00714,2020-03-26 01:00 EDT
Westchester,New York,4691,1797,1,1,0.00021319999999999998,41.163197600000004,-73.7560629,2020-03-26 01:00 EDT
Nassau,New York,3285,843,17,17,0.005175,40.7416523,-73.58899620000001,2020-03-26 01:00 EDT
Suffolk,New York,2260,802,20,20,0.008849600000000001,40.8773281,-72.85898040000001,2020-03-26 01:00 EDT
Rockland,New York,968,376,5,5,0.0051653,41.152374,-74.0240103,2020-03-26 01:00 EDT
Orange,New York,638,249,1,1,0.0015674,41.4020682,-74.30559570000001,2020-03-26 01:00 EDT
Dutchess,New York,153,53,1,1,0.0065359,41.7647751,-73.7428168,2020-03-26 01:00 EDT
Albany,New York,152,25,0,0,0.0,42.65155,-73.75520999999999,2020-03-26 01:00 EDT
Erie,New York,146,54,1,1,0.006849299999999999,42.7638212,-78.7322497,2020-03-26 01:00 EDT
Monroe,New York,118,23,3,3,0.0254237,43.1460428,-77.69674909999999,2020-03-26 01:00 EDT
Putnam,New York,84,39,0,0,0.0,41.426534499999995,-73.7494999,2020-03-26 01:00 EDT
Onondaga,New York,81,28,1,1,0.012345700000000001,43.004870000000004,-76.1836,2020-03-26 01:00 EDT
Ulster,New York,65,30,0,0,0.0,41.95986,-73.99033,2020-03-26 01:00 EDT
Saratoga,New York,64,11,0,0,0.0,43.06974,-73.63661,2020-03-26 01:00 EDT
Schenectady,New York,55,11,1,1,0.018181799999999998,42.81238,-73.94122,2020-03-26 01:00 EDT
Sullivan,New York,39,16,0,0,0.0,41.7163135,-74.7681108,2020-03-26 01:00 EDT
Rensselaer,New York,38,9,0,0,0.0,42.7108626,-73.5097379,2020-03-26 01:00 EDT
Tompkins,New York,23,8,0,0,0.0,42.449335,-76.4706436,2020-03-26 01:00 EDT
Columbia,New York,19,2,0,0,0.0,42.2500108,-73.6318613,2020-03-26 01:00 EDT
Niagara,New York,12,2,0,0,0.0,43.1999815,-78.74522259999999,2020-03-26 01:00 EDT
Broome,New York,11,2,2,2,0.1818182,42.160218,-75.8196459,2020-03-26 01:00 EDT
Oneida,New York,10,0,0,0,0.0,43.243065,-75.425836,2020-03-26 01:00 EDT
Clinton,New York,10,4,0,0,0.0,44.7904,-73.6006,2020-03-26 01:00 EDT
Ontario,New York,9,3,0,0,0.0,42.852889399999995,-77.299811,2020-03-26 01:00 EDT
Steuben,New York,8,3,0,0,0.0,42.2678268,-77.383826,2020-03-26 01:00 EDT
Wayne,New York,7,1,0,0,0.0,42.474131,-77.09816,2020-03-26 01:00 EDT
Madison,New York,7,3,1,1,0.14285710000000001,42.9129075,-75.669789,2020-03-26 01:00 EDT
Delaware,New York,5,2,0,0,0.0,42.198043299999995,-74.966352,2020-03-26 01:00 EDT
Herkimer,New York,5,1,0,0,0.0,43.0259,-74.98433,2020-03-26 01:00 EDT
Greene,New York,4,0,0,0,0.0,42.27654570000001,-74.12261590000001,2020-03-26 01:00 EDT
Montgomery,New York,4,1,0,0,0.0,42.90229179999999,-74.4396009,2020-03-26 01:00 EDT
Essex,New York,4,1,0,0,0.0,44.107557,-73.7912585,2020-03-26 01:00 EDT
Wyoming,New York,4,0,1,1,0.25,42.7024266,-78.22443259999999,2020-03-26 01:00 EDT
Washington,New York,4,1,0,0,0.0,43.312271100000004,-73.4309623,2020-03-26 01:00 EDT
Chenango,New York,3,0,0,0,0.0,42.493494399999996,-75.61153709999999,2020-03-26 01:00 EDT
Livingston,New York,3,0,0,0,0.0,42.728083500000004,-77.7754386,2020-03-26 01:00 EDT
Cortland,New York,3,1,0,0,0.0,42.5950011,-76.07023740000001,2020-03-26 01:00 EDT
Chemung,New York,3,0,0,0,0.0,42.1411881,-76.76001059999999,2020-03-26 01:00 EDT
Allegany,New York,2,0,0,0,0.0,42.2573979,-78.02755440000001,2020-03-26 01:00 EDT
Genesee,New York,2,1,0,0,0.0,43.0009402,-78.1936949,2020-03-26 01:00 EDT
Warren,New York,2,0,0,0,0.0,43.5592099,-73.8588116,2020-03-26 01:00 EDT
Hamilton,New York,2,0,0,0,0.0,43.6613037,-74.49733570000001,2020-03-26 01:00 EDT
Schoharie,New York,2,1,0,0,0.0,42.5882075,-74.44213590000001,2020-03-26 01:00 EDT
Jefferson,New York,2,0,0,0,0.0,44.0410342,-75.9122553,2020-03-26 01:00 EDT
Oswego,New York,2,0,0,0,0.0,43.436525700000004,-76.149244,2020-03-26 01:00 EDT
Otsego,New York,2,1,0,0,0.0,42.6337375,-75.0325623,2020-03-26 01:00 EDT
