County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,81803,4927,4571,562,0.05587809999999999,40.71455,-74.00714,2020-04-08 20:36 EDT
Nassau,New York,18548,1938,500,0,0.026957099999999998,40.7416523,-73.58899620000001,2020-04-08 20:36 EDT
Suffolk,New York,17008,1447,323,60,0.018991099999999997,40.8773281,-72.85898040000001,2020-04-08 20:36 EDT
Westchester,New York,15887,1083,283,0,0.017813299999999997,41.163197600000004,-73.7560629,2020-04-08 20:36 EDT
Rockland,New York,6413,423,154,19,0.0240137,41.152374,-74.0240103,2020-04-08 20:36 EDT
Orange,New York,4075,246,107,14,0.0262577,41.4020682,-74.30559570000001,2020-04-08 20:36 EDT
Dutchess,New York,1395,146,10,1,0.0071685,41.7647751,-73.7428168,2020-04-08 20:36 EDT
Erie,New York,1335,100,45,6,0.0337079,42.7638212,-78.7322497,2020-04-08 20:36 EDT
Monroe,New York,651,55,34,3,0.052227300000000004,43.1460428,-77.69674909999999,2020-04-08 20:36 EDT
Ulster,New York,462,64,7,2,0.015151499999999998,41.95986,-73.99033,2020-04-08 20:36 EDT
Putnam,New York,427,25,7,0,0.016393400000000002,41.426534499999995,-73.7494999,2020-04-08 20:36 EDT
Onondaga,New York,422,25,6,0,0.014218000000000001,43.004870000000004,-76.1836,2020-04-08 20:36 EDT
Albany,New York,342,9,9,1,0.0263158,42.65155,-73.75520999999999,2020-04-08 20:36 EDT
Sullivan,New York,296,26,7,0,0.0236486,41.7163135,-74.7681108,2020-04-08 20:36 EDT
Saratoga,New York,162,7,4,0,0.024691400000000002,43.06974,-73.63661,2020-04-08 20:36 EDT
Niagara,New York,155,29,1,0,0.006451600000000001,43.1999815,-78.74522259999999,2020-04-08 20:36 EDT
Schenectady,New York,149,4,7,0,0.046979900000000005,42.81238,-73.94122,2020-04-08 20:36 EDT
Oneida,New York,125,7,2,0,0.016,43.243065,-75.425836,2020-04-08 20:36 EDT
Tompkins,New York,105,2,0,0,0.0,42.449335,-76.4706436,2020-04-08 20:36 EDT
Broome,New York,93,7,6,0,0.06451609999999999,42.160218,-75.8196459,2020-04-08 20:36 EDT
Madison,New York,92,0,3,1,0.0326087,42.9129075,-75.669789,2020-04-08 20:36 EDT
Rensselaer,New York,88,0,3,0,0.0340909,42.7108626,-73.5097379,2020-04-08 20:36 EDT
Steuben,New York,87,12,6,1,0.0689655,42.2678268,-77.383826,2020-04-08 20:36 EDT
St. Lawrence,New York,78,17,0,0,0.0,44.17727,-76.16771999999999,2020-04-08 20:36 EDT
Columbia,New York,76,4,4,0,0.0526316,42.2500108,-73.6318613,2020-04-08 20:36 EDT
Chemung,New York,55,6,1,1,0.018181799999999998,42.1411881,-76.76001059999999,2020-04-08 20:36 EDT
Chenango,New York,53,2,0,0,0.0,42.493494399999996,-75.61153709999999,2020-04-08 20:36 EDT
Genesee,New York,47,14,1,0,0.0212766,43.0009402,-78.1936949,2020-04-08 20:36 EDT
Jefferson,New York,42,3,0,0,0.0,44.0410342,-75.9122553,2020-04-08 20:36 EDT
Clinton,New York,39,2,0,0,0.0,44.7904,-73.6006,2020-04-08 20:36 EDT
Ontario,New York,39,6,0,0,0.0,42.852889399999995,-77.299811,2020-04-08 20:36 EDT
Wayne,New York,39,4,0,0,0.0,42.474131,-77.09816,2020-04-08 20:36 EDT
Otsego,New York,38,4,1,0,0.0263158,42.6337375,-75.0325623,2020-04-08 20:36 EDT
Delaware,New York,37,1,1,0,0.027027,42.198043299999995,-74.966352,2020-04-08 20:36 EDT
Oswego,New York,34,0,2,0,0.0588235,43.436525700000004,-76.149244,2020-04-08 20:36 EDT
Warren,New York,33,2,0,0,0.0,43.5592099,-73.8588116,2020-04-08 20:36 EDT
Greene,New York,31,7,0,0,0.0,42.27654570000001,-74.12261590000001,2020-04-08 20:36 EDT
Herkimer,New York,29,2,3,0,0.10344829999999999,43.0259,-74.98433,2020-04-08 20:36 EDT
Livingston,New York,29,5,2,0,0.0689655,42.728083500000004,-77.7754386,2020-04-08 20:36 EDT
Wyoming,New York,27,4,1,0,0.037037,42.7024266,-78.22443259999999,2020-04-08 20:36 EDT
Allegany,New York,21,4,1,0,0.047619,42.2573979,-78.02755440000001,2020-04-08 20:36 EDT
Washington,New York,20,1,1,0,0.05,43.312271100000004,-73.4309623,2020-04-08 20:36 EDT
Chautauqua,New York,18,0,2,0,0.1111111,42.2282627,-79.366433,2020-04-08 20:36 EDT
Montgomery,New York,18,0,1,0,0.055555600000000004,42.90229179999999,-74.4396009,2020-04-08 20:36 EDT
Cortland,New York,16,0,0,0,0.0,42.5950011,-76.07023740000001,2020-04-08 20:36 EDT
Orleans,New York,16,1,0,0,0.0,43.2521006,-78.2312468,2020-04-08 20:36 EDT
Cattaraugus,New York,15,2,0,0,0.0,42.2485958,-78.678812,2020-04-08 20:36 EDT
Tioga,New York,15,7,0,0,0.0,42.06057,-76.34519,2020-04-08 20:36 EDT
Cayuga,New York,14,0,0,0,0.0,42.921452,-76.54917490000001,2020-04-08 20:36 EDT
Fulton,New York,14,1,0,0,0.0,43.1124027,-74.4351628,2020-04-08 20:36 EDT
Schoharie,New York,12,0,0,0,0.0,42.5882075,-74.44213590000001,2020-04-08 20:36 EDT
Seneca,New York,12,2,0,0,0.0,42.7900684,-76.8229227,2020-04-08 20:36 EDT
Franklin,New York,10,0,0,0,0.0,44.5926754,-74.3034218,2020-04-08 20:36 EDT
Essex,New York,9,0,0,0,0.0,44.107557,-73.7912585,2020-04-08 20:36 EDT
Lewis,New York,6,0,0,0,0.0,43.7847339,-75.4487061,2020-04-08 20:36 EDT
Schuyler,New York,4,0,0,0,0.0,42.370639000000004,-76.9851275,2020-04-08 20:36 EDT
