County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,123146,4844,8893,438,0.0722151,40.71455,-74.00714,2020-04-16 22:49 EDT
Nassau,New York,27772,1057,1109,52,0.039932300000000004,40.7416523,-73.58899620000001,2020-04-16 22:49 EDT
Suffolk,New York,24812,1104,693,40,0.02793,40.8773281,-72.85898040000001,2020-04-16 22:49 EDT
Westchester,New York,21828,881,668,28,0.0306029,41.163197600000004,-73.7560629,2020-04-16 22:49 EDT
Rockland,New York,8752,278,319,21,0.0364488,41.152374,-74.0240103,2020-04-16 22:49 EDT
Orange,New York,6266,436,204,26,0.0325567,41.4020682,-74.30559570000001,2020-04-16 22:49 EDT
Dutchess,New York,2085,37,19,1,0.009112700000000001,41.7647751,-73.7428168,2020-04-16 22:49 EDT
Erie,New York,1951,139,107,3,0.0548437,42.7638212,-78.7322497,2020-04-16 22:49 EDT
Monroe,New York,932,48,62,6,0.06652360000000002,43.1460428,-77.69674909999999,2020-04-16 22:49 EDT
Ulster,New York,845,41,15,2,0.0177515,41.95986,-73.99033,2020-04-16 22:49 EDT
Putnam,New York,634,0,7,0,0.011041,41.426534499999995,-73.7494999,2020-04-16 22:49 EDT
Albany,New York,581,33,20,0,0.03442340000000001,42.65155,-73.75520999999999,2020-04-16 22:49 EDT
Onondaga,New York,579,16,17,5,0.029361,43.004870000000004,-76.1836,2020-04-16 22:49 EDT
Sullivan,New York,437,13,11,1,0.0251716,41.7163135,-74.7681108,2020-04-16 22:49 EDT
Oneida,New York,249,3,6,2,0.024096400000000004,43.243065,-75.425836,2020-04-16 22:49 EDT
Schenectady,New York,245,8,8,0,0.0326531,42.81238,-73.94122,2020-04-16 22:49 EDT
Saratoga,New York,231,4,4,0,0.017315999999999998,43.06974,-73.63661,2020-04-16 22:49 EDT
Niagara,New York,229,0,9,0,0.039301300000000004,43.1999815,-78.74522259999999,2020-04-16 22:49 EDT
Broome,New York,167,14,8,0,0.047904199999999994,42.160218,-75.8196459,2020-04-16 22:49 EDT
Steuben,New York,154,3,18,2,0.11688310000000002,42.2678268,-77.383826,2020-04-16 22:49 EDT
Rensselaer,New York,140,0,6,0,0.042857099999999995,42.7108626,-73.5097379,2020-04-16 22:49 EDT
