County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,23112,3101,365,365,0.015792700000000003,40.71455,-74.00714,2020-03-26 21:06 EDT
Westchester,New York,5944,1253,1,1,0.0001682,41.163197600000004,-73.7560629,2020-03-26 21:06 EDT
Nassau,New York,3914,629,17,17,0.0043434,40.7416523,-73.58899620000001,2020-03-26 21:06 EDT
Suffolk,New York,2735,475,22,22,0.0080439,40.8773281,-72.85898040000001,2020-03-26 21:06 EDT
Rockland,New York,1197,229,5,5,0.0041771,41.152374,-74.0240103,2020-03-26 21:06 EDT
Orange,New York,751,113,1,1,0.0013315999999999998,41.4020682,-74.30559570000001,2020-03-26 21:06 EDT
Erie,New York,206,60,2,2,0.0097087,42.7638212,-78.7322497,2020-03-26 21:06 EDT
Dutchess,New York,190,37,1,1,0.0052632,41.7647751,-73.7428168,2020-03-26 21:06 EDT
Albany,New York,171,19,0,0,0.0,42.65155,-73.75520999999999,2020-03-26 21:06 EDT
Monroe,New York,148,30,4,4,0.027027,43.1460428,-77.69674909999999,2020-03-26 21:06 EDT
Onondaga,New York,111,30,1,1,0.009009,43.004870000000004,-76.1836,2020-03-26 21:06 EDT
Putnam,New York,94,10,0,0,0.0,41.426534499999995,-73.7494999,2020-03-26 21:06 EDT
Ulster,New York,78,13,0,0,0.0,41.95986,-73.99033,2020-03-26 21:06 EDT
Saratoga,New York,73,9,0,0,0.0,43.06974,-73.63661,2020-03-26 21:06 EDT
Schenectady,New York,62,7,1,1,0.016128999999999998,42.81238,-73.94122,2020-03-26 21:06 EDT
Sullivan,New York,53,14,0,0,0.0,41.7163135,-74.7681108,2020-03-26 21:06 EDT
Rensselaer,New York,44,6,0,0,0.0,42.7108626,-73.5097379,2020-03-26 21:06 EDT
Tompkins,New York,32,9,0,0,0.0,42.449335,-76.4706436,2020-03-26 21:06 EDT
Columbia,New York,24,5,0,0,0.0,42.2500108,-73.6318613,2020-03-26 21:06 EDT
Broome,New York,16,5,2,2,0.125,42.160218,-75.8196459,2020-03-26 21:06 EDT
Niagara,New York,14,2,0,0,0.0,43.1999815,-78.74522259999999,2020-03-26 21:06 EDT
Oneida,New York,13,3,0,0,0.0,43.243065,-75.425836,2020-03-26 21:06 EDT
Ontario,New York,11,2,0,0,0.0,42.852889399999995,-77.299811,2020-03-26 21:06 EDT
Clinton,New York,11,1,0,0,0.0,44.7904,-73.6006,2020-03-26 21:06 EDT
Steuben,New York,11,3,0,0,0.0,42.2678268,-77.383826,2020-03-26 21:06 EDT
Madison,New York,9,2,1,1,0.1111111,42.9129075,-75.669789,2020-03-26 21:06 EDT
Wayne,New York,8,1,0,0,0.0,42.474131,-77.09816,2020-03-26 21:06 EDT
Delaware,New York,7,2,0,0,0.0,42.198043299999995,-74.966352,2020-03-26 21:06 EDT
Herkimer,New York,7,2,0,0,0.0,43.0259,-74.98433,2020-03-26 21:06 EDT
Wyoming,New York,7,3,1,1,0.14285710000000001,42.7024266,-78.22443259999999,2020-03-26 21:06 EDT
Chemung,New York,7,4,0,0,0.0,42.1411881,-76.76001059999999,2020-03-26 21:06 EDT
Greene,New York,5,1,0,0,0.0,42.27654570000001,-74.12261590000001,2020-03-26 21:06 EDT
Montgomery,New York,5,1,0,0,0.0,42.90229179999999,-74.4396009,2020-03-26 21:06 EDT
Essex,New York,5,1,0,0,0.0,44.107557,-73.7912585,2020-03-26 21:06 EDT
Genesee,New York,4,2,0,0,0.0,43.0009402,-78.1936949,2020-03-26 21:06 EDT
Washington,New York,4,0,0,0,0.0,43.312271100000004,-73.4309623,2020-03-26 21:06 EDT
Jefferson,New York,4,2,0,0,0.0,44.0410342,-75.9122553,2020-03-26 21:06 EDT
Oswego,New York,4,2,0,0,0.0,43.436525700000004,-76.149244,2020-03-26 21:06 EDT
St. Lawrence,New York,4,3,0,0,0.0,44.17727,-76.16771999999999,2020-03-26 21:06 EDT
Chenango,New York,3,0,0,0,0.0,42.493494399999996,-75.61153709999999,2020-03-26 21:06 EDT
Livingston,New York,3,0,0,0,0.0,42.728083500000004,-77.7754386,2020-03-26 21:06 EDT
Cortland,New York,3,0,0,0,0.0,42.5950011,-76.07023740000001,2020-03-26 21:06 EDT
Otsego,New York,3,1,0,0,0.0,42.6337375,-75.0325623,2020-03-26 21:06 EDT
Tioga,New York,2,1,0,0,0.0,42.06057,-76.34519,2020-03-26 21:06 EDT
Allegany,New York,2,0,0,0,0.0,42.2573979,-78.02755440000001,2020-03-26 21:06 EDT
Warren,New York,2,0,0,0,0.0,43.5592099,-73.8588116,2020-03-26 21:06 EDT
Hamilton,New York,2,0,0,0,0.0,43.6613037,-74.49733570000001,2020-03-26 21:06 EDT
Schoharie,New York,2,0,0,0,0.0,42.5882075,-74.44213590000001,2020-03-26 21:06 EDT
Cayuga,New York,2,0,0,0,0.0,42.921452,-76.54917490000001,2020-03-26 21:06 EDT
Chautauqua,New York,2,0,0,0,0.0,42.2282627,-79.366433,2020-03-26 21:06 EDT
Orleans,New York,2,2,0,0,0.0,43.2521006,-78.2312468,2020-03-26 21:06 EDT
Fulton,New York,1,0,0,0,0.0,43.1124027,-74.4351628,2020-03-26 21:06 EDT
Franklin,New York,1,0,0,0,0.0,44.5926754,-74.3034218,2020-03-26 21:06 EDT
Bergen,New Jersey,1206,387,6,6,0.0049751000000000005,40.9594915,-74.074442,2020-03-26 21:06 EDT
Essex,New Jersey,609,228,4,4,0.0065680999999999995,40.7877926,-74.2476006,2020-03-26 21:06 EDT
Middlesex,New Jersey,505,189,0,0,0.0,40.57936,-74.50067,2020-03-26 21:06 EDT
Monmouth,New Jersey,501,188,3,3,0.005988,40.2600411,-74.2219463,2020-03-26 21:06 EDT
Hudson,New Jersey,441,181,2,2,0.0045351,40.740342299999995,-74.07410970000001,2020-03-26 21:06 EDT
Union,New Jersey,432,170,0,0,0.0,40.69635,-74.26957,2020-03-26 21:06 EDT
Passaic,New Jersey,399,144,7,7,0.0175439,40.86034,-74.12374,2020-03-26 21:06 EDT
Ocean,New Jersey,389,167,1,1,0.0025706999999999995,39.90927429999999,-74.2969653,2020-03-26 21:06 EDT
Morris,New Jersey,315,92,1,1,0.0031746,40.862019000000004,-74.5442741,2020-03-26 21:06 EDT
Somerset,New Jersey,179,62,1,1,0.005586600000000001,40.49859,-74.52249,2020-03-26 21:06 EDT
Mercer,New Jersey,111,29,0,0,0.0,40.2833191,-74.70157370000001,2020-03-26 21:06 EDT
Camden,New Jersey,73,12,1,1,0.013698599999999998,39.94525,-75.11913,2020-03-26 21:06 EDT
Burlington,New Jersey,64,16,0,0,0.0,40.07687,-74.85775,2020-03-26 21:06 EDT
Sussex,New Jersey,49,17,0,0,0.0,41.139345,-74.6906776,2020-03-26 21:06 EDT
Hunterdon,New Jersey,39,14,0,0,0.0,40.5672532,-74.9121792,2020-03-26 21:06 EDT
Gloucester,New Jersey,33,10,0,0,0.0,39.7172011,-75.1416437,2020-03-26 21:06 EDT
Warren,New Jersey,31,13,0,0,0.0,40.8573236,-74.997063,2020-03-26 21:06 EDT
Atlantic,New Jersey,10,-2,0,0,0.0,39.4806564,-74.6726431,2020-03-26 21:06 EDT
Cape May,New Jersey,6,2,0,0,0.0,38.93547,-74.92137,2020-03-26 21:06 EDT
Cumberland,New Jersey,4,1,0,0,0.0,39.3731149,-75.1106192,2020-03-26 21:06 EDT
