County_Name,State_Name,Confirmed,New,Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,1871,1057,11,0.0058792,40.71455,-74.00714,2020-03-18 19:42 EDT
Westchester,New York,538,158,0,0.0,41.163197600000004,-73.7560629,2020-03-18 19:42 EDT
Nassau,New York,278,138,1,0.0035970999999999998,40.7416523,-73.58899620000001,2020-03-18 19:42 EDT
Suffolk,New York,116,19,3,0.0258621,40.8773281,-72.85898040000001,2020-03-18 19:42 EDT
Albany,New York,36,11,0,0.0,42.65155,-73.75520999999999,2020-03-18 19:42 EDT
Orange,New York,32,17,0,0.0,41.4020682,-74.30559570000001,2020-03-18 19:42 EDT
Rockland,New York,31,9,1,0.0322581,41.152374,-74.0240103,2020-03-18 19:42 EDT
Dutchess,New York,20,4,0,0.0,41.7647751,-73.7428168,2020-03-18 19:42 EDT
Erie,New York,20,9,0,0.0,42.7638212,-78.7322497,2020-03-18 19:42 EDT
Monroe,New York,19,5,1,0.0526316,43.1460428,-77.69674909999999,2020-03-18 19:42 EDT
Saratoga,New York,14,5,0,0.0,43.06974,-73.63661,2020-03-18 19:42 EDT
Schenectady,New York,14,9,0,0.0,42.81238,-73.94122,2020-03-18 19:42 EDT
Ulster,New York,9,1,0,0.0,41.95986,-73.99033,2020-03-18 19:42 EDT
Tompkins,New York,6,3,0,0.0,42.449335,-76.4706436,2020-03-18 19:42 EDT
Onondaga,New York,6,4,0,0.0,43.004870000000004,-76.1836,2020-03-18 19:42 EDT
Rensselaer,New York,4,3,0,0.0,42.7108626,-73.5097379,2020-03-18 19:42 EDT
Putnam,New York,2,0,0,0.0,41.426534499999995,-73.7494999,2020-03-18 19:42 EDT
Greene,New York,2,0,0,0.0,42.27654570000001,-74.12261590000001,2020-03-18 19:42 EDT
Montgomery,New York,2,1,0,0.0,42.90229179999999,-74.4396009,2020-03-18 19:42 EDT
Allegany,New York,2,0,0,0.0,42.2573979,-78.02755440000001,2020-03-18 19:42 EDT
Oneida,New York,2,1,0,0.0,43.243065,-75.425836,2020-03-18 19:42 EDT
Delaware,New York,1,0,0,0.0,42.198043299999995,-74.966352,2020-03-18 19:42 EDT
Herkimer,New York,1,0,0,0.0,43.0259,-74.98433,2020-03-18 19:42 EDT
Broome,New York,1,0,0,0.0,42.160218,-75.8196459,2020-03-18 19:42 EDT
Tioga,New York,1,0,0,0.0,42.06057,-76.34519,2020-03-18 19:42 EDT
Ontario,New York,1,0,0,0.0,42.852889399999995,-77.299811,2020-03-18 19:42 EDT
Clinton,New York,1,0,0,0.0,44.7904,-73.6006,2020-03-18 19:42 EDT
Essex,New York,1,0,0,0.0,44.107557,-73.7912585,2020-03-18 19:42 EDT
Sullivan,New York,1,0,0,0.0,41.7163135,-74.7681108,2020-03-18 19:42 EDT
Wyoming,New York,1,0,0,0.0,42.7024266,-78.22443259999999,2020-03-18 19:42 EDT
Genesee,New York,1,1,0,0.0,43.0009402,-78.1936949,2020-03-18 19:42 EDT
Warren,New York,1,1,0,0.0,43.5592099,-73.8588116,2020-03-18 19:42 EDT
Washington,New York,1,1,0,0.0,43.312271100000004,-73.4309623,2020-03-18 19:42 EDT
Hamilton,New York,1,1,0,0.0,43.6613037,-74.49733570000001,2020-03-18 19:42 EDT
Chenango,New York,1,1,0,0.0,42.493494399999996,-75.61153709999999,2020-03-18 19:42 EDT
King,Washington,562,-7,56,0.0996441,47.490118100000004,-121.8043324,2020-03-18 19:42 EDT
Snohomish,Washington,310,44,6,0.019354800000000002,47.9124,-122.09306000000001,2020-03-18 19:42 EDT
Pierce,Washington,56,11,1,0.0178571,47.0227081,-122.1014408,2020-03-18 19:42 EDT
Island,Washington,16,2,0,0.0,48.1916094,-122.6650075,2020-03-18 19:42 EDT
Skagit,Washington,14,5,0,0.0,48.4793302,-121.72808020000001,2020-03-18 19:42 EDT
Kitsap,Washington,9,2,0,0.0,47.4749622,-122.6085325,2020-03-18 19:42 EDT
Grant,Washington,8,1,1,0.125,47.1988579,-119.4525987,2020-03-18 19:42 EDT
Whatcom,Washington,7,1,0,0.0,48.825596999999995,-121.7174182,2020-03-18 19:42 EDT
Yakima,Washington,7,2,0,0.0,46.60448,-120.50721000000001,2020-03-18 19:42 EDT
Thurston,Washington,6,1,0,0.0,46.9198058,-122.82986909999998,2020-03-18 19:42 EDT
Spokane,Washington,5,1,0,0.0,47.65726,-117.41228000000001,2020-03-18 19:42 EDT
Jefferson,Washington,4,1,0,0.0,47.7481061,-123.6000095,2020-03-18 19:42 EDT
Clark,Washington,4,0,3,0.75,45.781873299999994,-122.48127849999999,2020-03-18 19:42 EDT
Kittitas,Washington,4,1,0,0.0,46.98472,-120.41752,2020-03-18 19:42 EDT
Chelan,Washington,2,0,0,0.0,47.867071700000004,-120.62526770000001,2020-03-18 19:42 EDT
Grays Harbor,Washington,1,0,0,0.0,47.1505523,-123.7737432,2020-03-18 19:42 EDT
Columbia,Washington,1,0,0,0.0,46.2975768,-117.90786340000001,2020-03-18 19:42 EDT
Lincoln,Washington,1,0,0,0.0,47.5730506,-118.4177041,2020-03-18 19:42 EDT
Cowlitz,Washington,1,0,0,0.0,46.1945405,-122.67832720000001,2020-03-18 19:42 EDT
Lewis,Washington,1,0,0,0.0,46.577794899999994,-122.39291580000001,2020-03-18 19:42 EDT
Klickitat,Washington,1,0,0,0.0,45.876409100000004,-120.79203970000002,2020-03-18 19:42 EDT
Franklin,Washington,1,1,0,0.0,38.553779999999996,-91.00092,2020-03-18 19:42 EDT
Mason,Washington,1,1,0,0.0,38.61504,-83.80988,2020-03-18 19:42 EDT
Los Angeles,California,190,46,1,0.0052632,34.053490000000004,-118.24531999999999,2020-03-18 19:42 EDT
Santa Clara,California,175,20,6,0.034285699999999995,37.35579,-121.95508999999998,2020-03-18 19:42 EDT
San Mateo,California,80,16,1,0.0125,37.54704,-122.31485,2020-03-18 19:42 EDT
San Diego,California,60,0,0,0.0,32.71568,-117.16171000000001,2020-03-18 19:42 EDT
San Francisco,California,51,8,0,0.0,37.777120000000004,-122.41963999999999,2020-03-18 19:42 EDT
Sacramento,California,40,0,2,0.05,38.579440000000005,-121.49085,2020-03-18 19:42 EDT
Contra Costa,California,39,0,0,0.0,37.9179373,-121.9259354,2020-03-18 19:42 EDT
Alameda,California,30,3,0,0.0,37.76683,-122.2453,2020-03-18 19:42 EDT
Orange,California,29,0,0,0.0,33.78787,-117.85071,2020-03-18 19:42 EDT
Riverside,California,16,1,3,0.1875,33.98171,-117.37404,2020-03-18 19:42 EDT
Marin,California,15,4,0,0.0,38.07188729999999,-122.7195348,2020-03-18 19:42 EDT
San Joaquin,California,14,1,2,0.14285710000000001,37.9347956,-121.2713112,2020-03-18 19:42 EDT
Santa Cruz,California,13,0,0,0.0,36.97424,-122.03098,2020-03-18 19:42 EDT
Ventura,California,10,0,0,0.0,34.28082,-119.29231999999999,2020-03-18 19:42 EDT
Placer,California,9,4,1,0.1111111,39.059135600000005,-120.75363279999999,2020-03-18 19:42 EDT
Solano,California,8,1,0,0.0,38.277933600000004,-121.9272405,2020-03-18 19:42 EDT
Sonoma,California,8,4,0,0.0,38.29188,-122.45728000000001,2020-03-18 19:42 EDT
San Luis Obispo,California,7,4,0,0.0,35.285790000000006,-120.66275,2020-03-18 19:42 EDT
Stanislaus,California,5,2,0,0.0,37.55932620000001,-120.9976619,2020-03-18 19:42 EDT
Yolo,California,4,0,0,0.0,38.73431,-121.81278999999999,2020-03-18 19:42 EDT
Tulare,California,4,1,0,0.0,36.20649,-119.34305,2020-03-18 19:42 EDT
San Benito,California,3,0,0,0.0,36.50506,-121.08332,2020-03-18 19:42 EDT
San Bernardino,California,3,0,0,0.0,34.10524,-117.29411999999999,2020-03-18 19:42 EDT
Fresno,California,2,0,0,0.0,36.740840000000006,-119.78551999999999,2020-03-18 19:42 EDT
Calaveras,California,2,0,0,0.0,38.2047357,-120.55406550000001,2020-03-18 19:42 EDT
Imperial,California,2,0,0,0.0,32.84748,-115.56952,2020-03-18 19:42 EDT
Santa Barbara,California,2,0,0,0.0,34.41938,-119.69905,2020-03-18 19:42 EDT
Monterey,California,2,0,0,0.0,36.217146,-121.2390196,2020-03-18 19:42 EDT
Humboldt,California,1,0,0,0.0,40.698798,-123.87371470000001,2020-03-18 19:42 EDT
Madera,California,1,0,0,0.0,36.96205,-120.06398999999999,2020-03-18 19:42 EDT
