County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,76876,4695,4009,524,0.052148900000000005,40.71455,-74.00714,2020-04-08 10:37 EDT
Nassau,New York,16610,994,500,119,0.0301023,40.7416523,-73.58899620000001,2020-04-08 10:37 EDT
Suffolk,New York,15561,1376,263,64,0.0169012,40.8773281,-72.85898040000001,2020-04-08 10:37 EDT
Westchester,New York,14804,510,283,72,0.019116499999999998,41.163197600000004,-73.7560629,2020-04-08 10:37 EDT
Rockland,New York,5990,287,135,16,0.022537599999999998,41.152374,-74.0240103,2020-04-08 10:37 EDT
Orange,New York,3829,296,93,17,0.0242883,41.4020682,-74.30559570000001,2020-04-08 10:37 EDT
Dutchess,New York,1249,60,9,0,0.007205800000000001,41.7647751,-73.7428168,2020-04-08 10:37 EDT
Erie,New York,1235,87,39,9,0.0315789,42.7638212,-78.7322497,2020-04-08 10:37 EDT
Monroe,New York,596,22,31,5,0.0520134,43.1460428,-77.69674909999999,2020-04-08 10:37 EDT
Putnam,New York,402,57,7,0,0.017412900000000002,41.426534499999995,-73.7494999,2020-04-08 10:37 EDT
Ulster,New York,398,16,5,1,0.012562799999999999,41.95986,-73.99033,2020-04-08 10:37 EDT
Onondaga,New York,397,20,6,1,0.015113399999999999,43.004870000000004,-76.1836,2020-04-08 10:37 EDT
Albany,New York,333,14,8,0,0.024024,42.65155,-73.75520999999999,2020-04-08 10:37 EDT
Sullivan,New York,270,17,7,1,0.0259259,41.7163135,-74.7681108,2020-04-08 10:37 EDT
Saratoga,New York,155,2,4,0,0.0258065,43.06974,-73.63661,2020-04-08 10:37 EDT
Schenectady,New York,145,7,7,0,0.048275900000000004,42.81238,-73.94122,2020-04-08 10:37 EDT
Niagara,New York,126,6,1,1,0.007936499999999999,43.1999815,-78.74522259999999,2020-04-08 10:37 EDT
Oneida,New York,118,18,2,0,0.0169492,43.243065,-75.425836,2020-04-08 10:37 EDT
Tompkins,New York,103,1,0,0,0.0,42.449335,-76.4706436,2020-04-08 10:37 EDT
Madison,New York,92,0,2,0,0.0217391,42.9129075,-75.669789,2020-04-08 10:37 EDT
Rensselaer,New York,88,14,3,1,0.0340909,42.7108626,-73.5097379,2020-04-08 10:37 EDT
Broome,New York,86,10,6,1,0.0697674,42.160218,-75.8196459,2020-04-08 10:37 EDT
Steuben,New York,75,0,5,1,0.0666667,42.2678268,-77.383826,2020-04-08 10:37 EDT
Columbia,New York,72,2,4,1,0.055555600000000004,42.2500108,-73.6318613,2020-04-08 10:37 EDT
St. Lawrence,New York,61,0,0,0,0.0,44.17727,-76.16771999999999,2020-04-08 10:37 EDT
Chenango,New York,51,5,0,0,0.0,42.493494399999996,-75.61153709999999,2020-04-08 10:37 EDT
Chemung,New York,49,2,0,0,0.0,42.1411881,-76.76001059999999,2020-04-08 10:37 EDT
Jefferson,New York,39,6,0,0,0.0,44.0410342,-75.9122553,2020-04-08 10:37 EDT
Clinton,New York,37,1,0,0,0.0,44.7904,-73.6006,2020-04-08 10:37 EDT
Delaware,New York,36,7,1,0,0.027777800000000002,42.198043299999995,-74.966352,2020-04-08 10:37 EDT
Wayne,New York,35,1,0,0,0.0,42.474131,-77.09816,2020-04-08 10:37 EDT
Otsego,New York,34,5,1,0,0.0294118,42.6337375,-75.0325623,2020-04-08 10:37 EDT
Oswego,New York,34,0,2,2,0.0588235,43.436525700000004,-76.149244,2020-04-08 10:37 EDT
Genesee,New York,33,10,1,0,0.030302999999999997,43.0009402,-78.1936949,2020-04-08 10:37 EDT
Ontario,New York,33,1,0,0,0.0,42.852889399999995,-77.299811,2020-04-08 10:37 EDT
Warren,New York,31,5,0,0,0.0,43.5592099,-73.8588116,2020-04-08 10:37 EDT
Herkimer,New York,27,2,3,0,0.1111111,43.0259,-74.98433,2020-04-08 10:37 EDT
Livingston,New York,24,0,2,1,0.08333330000000001,42.728083500000004,-77.7754386,2020-04-08 10:37 EDT
Greene,New York,24,0,0,0,0.0,42.27654570000001,-74.12261590000001,2020-04-08 10:37 EDT
Wyoming,New York,23,0,1,0,0.043478300000000004,42.7024266,-78.22443259999999,2020-04-08 10:37 EDT
Washington,New York,19,0,1,0,0.0526316,43.312271100000004,-73.4309623,2020-04-08 10:37 EDT
Chautauqua,New York,18,0,2,0,0.1111111,42.2282627,-79.366433,2020-04-08 10:37 EDT
Montgomery,New York,18,3,1,0,0.055555600000000004,42.90229179999999,-74.4396009,2020-04-08 10:37 EDT
Allegany,New York,17,0,1,0,0.0588235,42.2573979,-78.02755440000001,2020-04-08 10:37 EDT
Cortland,New York,16,2,0,0,0.0,42.5950011,-76.07023740000001,2020-04-08 10:37 EDT
Orleans,New York,15,2,0,0,0.0,43.2521006,-78.2312468,2020-04-08 10:37 EDT
Cayuga,New York,14,3,0,0,0.0,42.921452,-76.54917490000001,2020-04-08 10:37 EDT
Cattaraugus,New York,13,1,0,0,0.0,42.2485958,-78.678812,2020-04-08 10:37 EDT
Fulton,New York,13,2,0,0,0.0,43.1124027,-74.4351628,2020-04-08 10:37 EDT
Schoharie,New York,12,1,0,0,0.0,42.5882075,-74.44213590000001,2020-04-08 10:37 EDT
Franklin,New York,10,0,0,0,0.0,44.5926754,-74.3034218,2020-04-08 10:37 EDT
Seneca,New York,10,1,0,0,0.0,42.7900684,-76.8229227,2020-04-08 10:37 EDT
Essex,New York,9,0,0,0,0.0,44.107557,-73.7912585,2020-04-08 10:37 EDT
Tioga,New York,8,0,0,0,0.0,42.06057,-76.34519,2020-04-08 10:37 EDT
Lewis,New York,6,0,0,0,0.0,43.7847339,-75.4487061,2020-04-08 10:37 EDT
Schuyler,New York,4,0,0,0,0.0,42.370639000000004,-76.9851275,2020-04-08 10:37 EDT
Hamilton,New York,2,0,0,0,0.0,43.6613037,-74.49733570000001,2020-04-08 10:37 EDT
Yates,New York,1,0,0,0,0.0,42.6333458,-77.1180768,2020-04-08 10:37 EDT
Bergen,New Jersey,7533,671,263,63,0.034913,40.9594915,-74.074442,2020-04-08 10:37 EDT
Essex,New Jersey,5078,585,232,46,0.04568730000000001,40.7877926,-74.2476006,2020-04-08 10:37 EDT
Hudson,New Jersey,4949,554,103,11,0.0208123,40.740342299999995,-74.07410970000001,2020-04-08 10:37 EDT
Union,New Jersey,4368,683,95,17,0.021749099999999997,40.69635,-74.26957,2020-04-08 10:37 EDT
Passaic,New Jersey,4104,348,62,9,0.0151072,40.86034,-74.12374,2020-04-08 10:37 EDT
Middlesex,New Jersey,3717,454,100,13,0.026903399999999997,40.57936,-74.50067,2020-04-08 10:37 EDT
Monmouth,New Jersey,2770,225,71,9,0.0256318,40.2600411,-74.2219463,2020-04-08 10:37 EDT
Ocean,New Jersey,2641,267,85,14,0.0321848,39.90927429999999,-74.2969653,2020-04-08 10:37 EDT
Morris,New Jersey,2239,283,87,27,0.0388566,40.862019000000004,-74.5442741,2020-04-08 10:37 EDT
Somerset,New Jersey,1033,131,40,9,0.0387222,40.49859,-74.52249,2020-04-08 10:37 EDT
Mercer,New Jersey,837,97,24,5,0.0286738,40.2833191,-74.70157370000001,2020-04-08 10:37 EDT
Camden,New Jersey,736,91,12,4,0.0163043,39.94525,-75.11913,2020-04-08 10:37 EDT
Burlington,New Jersey,733,87,13,2,0.0177353,40.07687,-74.85775,2020-04-08 10:37 EDT
Sussex,New Jersey,331,39,15,4,0.045317199999999995,41.139345,-74.6906776,2020-04-08 10:37 EDT
Gloucester,New Jersey,311,32,5,2,0.016077200000000003,39.7172011,-75.1416437,2020-04-08 10:37 EDT
Warren,New Jersey,255,40,7,0,0.027451,40.8573236,-74.997063,2020-04-08 10:37 EDT
Hunterdon,New Jersey,234,23,2,0,0.008546999999999999,40.5672532,-74.9121792,2020-04-08 10:37 EDT
Atlantic,New Jersey,144,12,4,3,0.027777800000000002,39.4806564,-74.6726431,2020-04-08 10:37 EDT
Cape May,New Jersey,94,9,2,-1,0.0212766,38.93547,-74.92137,2020-04-08 10:37 EDT
Cumberland,New Jersey,71,7,2,0,0.028169,39.3731149,-75.1106192,2020-04-08 10:37 EDT
Salem,New Jersey,31,2,3,1,0.09677419999999999,39.5766133,-75.35810749999999,2020-04-08 10:37 EDT
Wayne--Detroit,Michigan,5476,453,222,29,0.0405405,42.230540000000005,-83.343,2020-04-08 10:37 EDT
Oakland,Michigan,3736,356,205,20,0.054871500000000004,42.74214,-83.16174000000001,2020-04-08 10:37 EDT
Wayne,Michigan,3569,322,180,27,0.0504343,42.28515,-83.3836,2020-04-08 10:37 EDT
Macomb,Michigan,2414,255,121,21,0.050124300000000004,42.69565,-82.92171,2020-04-08 10:37 EDT
Genesee,Michigan,638,70,33,7,0.051724099999999995,43.0217016,-83.7067548,2020-04-08 10:37 EDT
Washtenaw,Michigan,559,20,11,1,0.019678,42.2532294,-83.83877629999999,2020-04-08 10:37 EDT
Other,Michigan,243,2,1,0,0.0041152,43.8466995,-85.98375,2020-04-08 10:37 EDT
Ingham,Michigan,189,11,1,0,0.005291,42.5970924,-84.37353420000001,2020-04-08 10:37 EDT
Kent,Michigan,187,10,6,1,0.0320856,43.032162,-85.54929820000001,2020-04-08 10:37 EDT
Livingston,Michigan,155,12,2,0,0.012903200000000002,42.602918200000005,-83.911524,2020-04-08 10:37 EDT
Saginaw,Michigan,153,14,3,1,0.0196078,43.3350249,-84.0531776,2020-04-08 10:37 EDT
St. Clair,Michigan,129,19,3,0,0.0232558,42.83189,-82.50220999999999,2020-04-08 10:37 EDT
Monroe,Michigan,129,12,0,0,0.0,41.916059999999995,-83.3979,2020-04-08 10:37 EDT
Out of State,Michigan,118,27,1,0,0.0084746,42.897886,-86.2110453,2020-04-08 10:37 EDT
Jackson,Michigan,114,11,4,0,0.03508769999999999,42.24848239999999,-84.4234498,2020-04-08 10:37 EDT
Clinton,Michigan,73,17,1,0,0.013698599999999998,42.94365429999999,-84.6015142,2020-04-08 10:37 EDT
Kalamazoo,Michigan,64,6,4,1,0.0625,42.245437200000005,-85.5311697,2020-04-08 10:37 EDT
Berrien,Michigan,64,4,2,1,0.03125,41.954687,-86.4122229,2020-04-08 10:37 EDT
Eaton,Michigan,61,4,2,0,0.0327869,42.5960749,-84.83832070000001,2020-04-08 10:37 EDT
Lapeer,Michigan,56,7,3,3,0.053571400000000005,43.0901321,-83.22178570000001,2020-04-08 10:37 EDT
Hillsdale,Michigan,55,9,4,1,0.07272730000000001,41.8877641,-84.59292629999999,2020-04-08 10:37 EDT
Ottawa,Michigan,52,8,0,0,0.0,42.9607123,-85.9951657,2020-04-08 10:37 EDT
Calhoun,Michigan,43,2,1,0,0.0232558,42.2465365,-85.0055836,2020-04-08 10:37 EDT
Muskegon,Michigan,41,8,4,0,0.097561,43.2912071,-86.152,2020-04-08 10:37 EDT
Lenawee,Michigan,32,0,0,0,0.0,41.8950816,-84.0663722,2020-04-08 10:37 EDT
Bay,Michigan,31,1,0,0,0.0,43.7073289,-83.99203709999999,2020-04-08 10:37 EDT
Otsego,Michigan,28,2,2,0,0.07142860000000001,45.0992,-84.6482,2020-04-08 10:37 EDT
Tuscola,Michigan,26,4,2,0,0.07692310000000001,43.464126799999995,-83.41682259999999,2020-04-08 10:37 EDT
Shiawassee,Michigan,24,0,0,0,0.0,42.9537374,-84.146743,2020-04-08 10:37 EDT
Isabella,Michigan,22,6,2,0,0.0909091,43.64058970000001,-84.8467858,2020-04-08 10:37 EDT
Midland,Michigan,22,0,0,0,0.0,43.6468649,-84.3881103,2020-04-08 10:37 EDT
Marquette,Michigan,19,4,2,0,0.1052632,46.431252799999996,-87.6415934,2020-04-08 10:37 EDT
