County_Name,State_Name,Confirmed,New,Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,463,194,9,0.0194384,40.71455,-74.00714,2020-03-16 21:26 UTC
Westchester,New York,220,42,0,0.0,41.163197600000004,-73.7560629,2020-03-16 21:26 UTC
Nassau,New York,109,30,0,0.0,40.7416523,-73.58899620000001,2020-03-16 21:26 UTC
Suffolk,New York,74,33,4,0.054054099999999994,40.8773281,-72.85898040000001,2020-03-16 21:26 UTC
Rockland,New York,16,4,1,0.0625,41.152374,-74.0240103,2020-03-16 21:26 UTC
Albany,New York,15,4,0,0.0,42.65155,-73.75520999999999,2020-03-16 21:26 UTC
Monroe,New York,11,9,0,0.0,43.1460428,-77.69674909999999,2020-03-16 21:26 UTC
Orange,New York,11,5,0,0.0,41.4020682,-74.30559570000001,2020-03-16 21:26 UTC
Dutchess,New York,10,6,0,0.0,41.7647751,-73.7428168,2020-03-16 21:26 UTC
Ulster,New York,7,2,0,0.0,41.95986,-73.99033,2020-03-16 21:26 UTC
Erie,New York,7,4,0,0.0,42.7638212,-78.7322497,2020-03-16 21:26 UTC
Saratoga,New York,5,2,0,0.0,43.06974,-73.63661,2020-03-16 21:26 UTC
Schenectady,New York,4,3,0,0.0,42.81238,-73.94122,2020-03-16 21:26 UTC
Tompkins,New York,2,1,0,0.0,42.449335,-76.4706436,2020-03-16 21:26 UTC
Putnam,New York,2,2,0,0.0,41.426534499999995,-73.7494999,2020-03-16 21:26 UTC
Greene,New York,2,2,0,0.0,42.27654570000001,-74.12261590000001,2020-03-16 21:26 UTC
Allegany,New York,2,2,0,0.0,42.2573979,-78.02755440000001,2020-03-16 21:26 UTC
Delaware,New York,1,0,0,0.0,42.198043299999995,-74.966352,2020-03-16 21:26 UTC
Herkimer,New York,1,0,0,0.0,43.0259,-74.98433,2020-03-16 21:26 UTC
Broome,New York,1,0,0,0.0,42.160218,-75.8196459,2020-03-16 21:26 UTC
Tioga,New York,1,0,0,0.0,42.06057,-76.34519,2020-03-16 21:26 UTC
Montgomery,New York,1,1,0,0.0,42.90229179999999,-74.4396009,2020-03-16 21:26 UTC
Onondaga,New York,1,1,0,0.0,43.004870000000004,-76.1836,2020-03-16 21:26 UTC
Ontario,New York,1,1,0,0.0,42.852889399999995,-77.299811,2020-03-16 21:26 UTC
King,Washington,420,33,37,0.0880952,47.490118100000004,-121.8043324,2020-03-16 21:26 UTC
Snohomish,Washington,200,46,4,0.02,47.9124,-122.09306000000001,2020-03-16 21:26 UTC
Pierce,Washington,29,3,0,0.0,47.0227081,-122.1014408,2020-03-16 21:26 UTC
Island,Washington,6,0,0,0.0,48.1916094,-122.6650075,2020-03-16 21:26 UTC
Clark,Washington,4,1,0,0.0,45.781873299999994,-122.48127849999999,2020-03-16 21:26 UTC
Skagit,Washington,4,0,0,0.0,48.4793302,-121.72808020000001,2020-03-16 21:26 UTC
Yakima,Washington,4,0,0,0.0,46.60448,-120.50721000000001,2020-03-16 21:26 UTC
Grant,Washington,3,1,1,0.3333333,47.1988579,-119.4525987,2020-03-16 21:26 UTC
Jefferson,Washington,3,2,0,0.0,47.7481061,-123.6000095,2020-03-16 21:26 UTC
Kittitas,Washington,3,0,0,0.0,46.98472,-120.41752,2020-03-16 21:26 UTC
Kitsap,Washington,3,0,0,0.0,47.4749622,-122.6085325,2020-03-16 21:26 UTC
Whatcom,Washington,3,1,0,0.0,48.825596999999995,-121.7174182,2020-03-16 21:26 UTC
Thurston,Washington,3,0,0,0.0,46.9198058,-122.82986909999998,2020-03-16 21:26 UTC
Spokane,Washington,3,0,0,0.0,47.65726,-117.41228000000001,2020-03-16 21:26 UTC
Grays Harbor,Washington,1,0,0,0.0,47.1505523,-123.7737432,2020-03-16 21:26 UTC
Columbia,Washington,1,0,0,0.0,46.2975768,-117.90786340000001,2020-03-16 21:26 UTC
Lincoln,Washington,1,1,0,0.0,47.5730506,-118.4177041,2020-03-16 21:26 UTC
Cowlitz,Washington,1,1,0,0.0,46.1945405,-122.67832720000001,2020-03-16 21:26 UTC
Santa Clara,California,138,24,2,0.0144928,37.35579,-121.95508999999998,2020-03-16 21:26 UTC
Los Angeles,California,94,25,1,0.0106383,34.053490000000004,-118.24531999999999,2020-03-16 21:26 UTC
San Mateo,California,41,9,1,0.0243902,37.54704,-122.31485,2020-03-16 21:26 UTC
San Francisco,California,40,3,0,0.0,37.777120000000004,-122.41963999999999,2020-03-16 21:26 UTC
San Diego,California,35,19,0,0.0,32.71568,-117.16171000000001,2020-03-16 21:26 UTC
Sacramento,California,32,3,1,0.03125,38.579440000000005,-121.49085,2020-03-16 21:26 UTC
Contra Costa,California,29,0,0,0.0,37.9179373,-121.9259354,2020-03-16 21:26 UTC
Alameda,California,18,7,0,0.0,37.76683,-122.2453,2020-03-16 21:26 UTC
Orange,California,17,3,0,0.0,33.78787,-117.85071,2020-03-16 21:26 UTC
Riverside,California,15,1,0,0.0,33.98171,-117.37404,2020-03-16 21:26 UTC
Santa Cruz,California,9,2,0,0.0,36.97424,-122.03098,2020-03-16 21:26 UTC
Marin,California,9,4,0,0.0,38.07188729999999,-122.7195348,2020-03-16 21:26 UTC
San Joaquin,California,8,0,0,0.0,37.9347956,-121.2713112,2020-03-16 21:26 UTC
Solano,California,7,1,0,0.0,38.277933600000004,-121.9272405,2020-03-16 21:26 UTC
Sonoma,California,5,1,0,0.0,38.29188,-122.45728000000001,2020-03-16 21:26 UTC
Placer,California,5,0,1,0.2,39.059135600000005,-120.75363279999999,2020-03-16 21:26 UTC
Ventura,California,4,-1,0,0.0,34.28082,-119.29231999999999,2020-03-16 21:26 UTC
San Benito,California,3,0,0,0.0,36.50506,-121.08332,2020-03-16 21:26 UTC
Stanislaus,California,3,1,0,0.0,37.55932620000001,-120.9976619,2020-03-16 21:26 UTC
San Luis Obispo,California,3,2,0,0.0,35.285790000000006,-120.66275,2020-03-16 21:26 UTC
Yolo,California,2,0,0,0.0,38.73431,-121.81278999999999,2020-03-16 21:26 UTC
Fresno,California,2,1,0,0.0,36.740840000000006,-119.78551999999999,2020-03-16 21:26 UTC
Calaveras,California,2,0,0,0.0,38.2047357,-120.55406550000001,2020-03-16 21:26 UTC
Tulare,California,2,0,0,0.0,36.20649,-119.34305,2020-03-16 21:26 UTC
Imperial,California,2,0,0,0.0,32.84748,-115.56952,2020-03-16 21:26 UTC
Humboldt,California,1,0,0,0.0,40.698798,-123.87371470000001,2020-03-16 21:26 UTC
Madera,California,1,0,0,0.0,36.96205,-120.06398999999999,2020-03-16 21:26 UTC
Shasta,California,1,0,0,0.0,40.598279999999995,-122.49095,2020-03-16 21:26 UTC
San Bernardino,California,1,1,0,0.0,34.10524,-117.29411999999999,2020-03-16 21:26 UTC
Santa Barbara,California,1,1,0,0.0,34.41938,-119.69905,2020-03-16 21:26 UTC
Middlesex,Massachusetts,83,18,0,0.0,42.4855941,-71.3917913,2020-03-16 21:26 UTC
Suffolk,Massachusetts,36,9,0,0.0,42.331891600000006,-71.07537430000001,2020-03-16 21:26 UTC
Norfolk,Massachusetts,36,8,0,0.0,42.119409999999995,-71.33083,2020-03-16 21:26 UTC
Berkshire,Massachusetts,11,2,0,0.0,42.51105,-73.19426,2020-03-16 21:26 UTC
Essex,Massachusetts,8,3,0,0.0,42.632509999999996,-70.78113,2020-03-16 21:26 UTC
Worcester,Massachusetts,6,4,0,0.0,42.26341,-71.80219,2020-03-16 21:26 UTC
Plymouth,Massachusetts,3,3,0,0.0,41.92808,-70.6568,2020-03-16 21:26 UTC
Bristol,Massachusetts,2,1,0,0.0,41.7983696,-71.11428120000001,2020-03-16 21:26 UTC
Barnstable,Massachusetts,1,0,0,0.0,41.70194,-70.30442,2020-03-16 21:26 UTC
Hampden,Massachusetts,1,1,0,0.0,42.064613,-72.422,2020-03-16 21:26 UTC
Bergen,New Jersey,61,32,1,0.016393400000000002,40.9594915,-74.074442,2020-03-16 21:26 UTC
Essex,New Jersey,20,9,0,0.0,40.7877926,-74.2476006,2020-03-16 21:26 UTC
Hudson,New Jersey,19,8,0,0.0,40.740342299999995,-74.07410970000001,2020-03-16 21:26 UTC
Middlesex,New Jersey,17,6,0,0.0,40.57936,-74.50067,2020-03-16 21:26 UTC
Monmouth,New Jersey,14,2,1,0.07142860000000001,40.2600411,-74.2219463,2020-03-16 21:26 UTC
Passaic,New Jersey,8,3,0,0.0,40.86034,-74.12374,2020-03-16 21:26 UTC
Union,New Jersey,8,4,0,0.0,40.69635,-74.26957,2020-03-16 21:26 UTC
Morris,New Jersey,6,2,0,0.0,40.862019000000004,-74.5442741,2020-03-16 21:26 UTC
Mercer,New Jersey,6,5,0,0.0,40.2833191,-74.70157370000001,2020-03-16 21:26 UTC
Burlington,New Jersey,5,1,0,0.0,40.07687,-74.85775,2020-03-16 21:26 UTC
Somerset,New Jersey,5,4,0,0.0,40.49859,-74.52249,2020-03-16 21:26 UTC
Camden,New Jersey,3,1,0,0.0,39.94525,-75.11913,2020-03-16 21:26 UTC
Ocean,New Jersey,3,1,0,0.0,39.90927429999999,-74.2969653,2020-03-16 21:26 UTC
Hunterdon,New Jersey,1,0,0,0.0,40.5672532,-74.9121792,2020-03-16 21:26 UTC
Broward,Florida,36,0,0,0.0,26.152245399999998,-80.48705340000001,2020-03-16 21:26 UTC
