County_Name,State_Name,Confirmed,New,Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,269,115,3,0.0111524,40.71455,-74.00714,2020-03-15 16:23 EDT
Westchester,New York,178,20,0,0.0,41.163197600000004,-73.7560629,2020-03-15 16:23 EDT
Nassau,New York,79,28,0,0.0,40.7416523,-73.58899620000001,2020-03-15 16:23 EDT
Suffolk,New York,41,13,0,0.0,40.8773281,-72.85898040000001,2020-03-15 16:23 EDT
Rockland,New York,12,3,1,0.08333330000000001,41.152374,-74.0240103,2020-03-15 16:23 EDT
Albany,New York,11,7,0,0.0,42.65155,-73.75520999999999,2020-03-15 16:23 EDT
Orange,New York,6,3,0,0.0,41.4020682,-74.30559570000001,2020-03-15 16:23 EDT
Ulster,New York,5,0,0,0.0,41.95986,-73.99033,2020-03-15 16:23 EDT
Dutchess,New York,4,1,0,0.0,41.7647751,-73.7428168,2020-03-15 16:23 EDT
Saratoga,New York,3,0,0,0.0,43.06974,-73.63661,2020-03-15 16:23 EDT
Erie,New York,3,3,0,0.0,42.7638212,-78.7322497,2020-03-15 16:23 EDT
Monroe,New York,2,0,0,0.0,43.1460428,-77.69674909999999,2020-03-15 16:23 EDT
Delaware,New York,1,0,0,0.0,42.198043299999995,-74.966352,2020-03-15 16:23 EDT
Herkimer,New York,1,0,0,0.0,43.0259,-74.98433,2020-03-15 16:23 EDT
Schenectady,New York,1,0,0,0.0,42.81238,-73.94122,2020-03-15 16:23 EDT
Broome,New York,1,0,0,0.0,42.160218,-75.8196459,2020-03-15 16:23 EDT
Tompkins,New York,1,1,0,0.0,42.449335,-76.4706436,2020-03-15 16:23 EDT
Tioga,New York,1,1,0,0.0,42.06057,-76.34519,2020-03-15 16:23 EDT
King,Washington,387,59,35,0.0904393,47.490118100000004,-121.8043324,2020-03-15 16:23 EDT
Snohomish,Washington,154,21,4,0.025974,47.9124,-122.09306000000001,2020-03-15 16:23 EDT
Pierce,Washington,26,7,0,0.0,47.0227081,-122.1014408,2020-03-15 16:23 EDT
Island,Washington,6,3,0,0.0,48.1916094,-122.6650075,2020-03-15 16:23 EDT
