County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,30765,4068,672,672,0.021843,40.71455,-74.00714,2020-03-28 23:49 EDT
Westchester,New York,7875,688,10,10,0.0012698,41.163197600000004,-73.7560629,2020-03-28 23:49 EDT
Nassau,New York,5537,880,34,34,0.0061405,40.7416523,-73.58899620000001,2020-03-28 23:49 EDT
Suffolk,New York,4138,753,37,37,0.0089415,40.8773281,-72.85898040000001,2020-03-28 23:49 EDT
Rockland,New York,1896,439,8,8,0.0042194,41.152374,-74.0240103,2020-03-28 23:49 EDT
Orange,New York,1142,232,4,4,0.0035026,41.4020682,-74.30559570000001,2020-03-28 23:49 EDT
Erie,New York,380,70,6,6,0.0157895,42.7638212,-78.7322497,2020-03-28 23:49 EDT
Dutchess,New York,262,37,2,2,0.0076336,41.7647751,-73.7428168,2020-03-28 23:49 EDT
Monroe,New York,202,36,5,5,0.0247525,43.1460428,-77.69674909999999,2020-03-28 23:49 EDT
Albany,New York,195,8,0,0,0.0,42.65155,-73.75520999999999,2020-03-28 23:49 EDT
Onondaga,New York,146,23,1,1,0.006849299999999999,43.004870000000004,-76.1836,2020-03-28 23:49 EDT
Ulster,New York,135,37,0,0,0.0,41.95986,-73.99033,2020-03-28 23:49 EDT
Putnam,New York,131,20,0,0,0.0,41.426534499999995,-73.7494999,2020-03-28 23:49 EDT
Saratoga,New York,96,14,0,0,0.0,43.06974,-73.63661,2020-03-28 23:49 EDT
Schenectady,New York,72,6,1,1,0.013888900000000001,42.81238,-73.94122,2020-03-28 23:49 EDT
Sullivan,New York,72,8,0,0,0.0,41.7163135,-74.7681108,2020-03-28 23:49 EDT
Tompkins,New York,56,8,0,0,0.0,42.449335,-76.4706436,2020-03-28 23:49 EDT
Rensselaer,New York,51,7,0,0,0.0,42.7108626,-73.5097379,2020-03-28 23:49 EDT
Niagara,New York,33,10,0,0,0.0,43.1999815,-78.74522259999999,2020-03-28 23:49 EDT
Columbia,New York,30,3,1,1,0.0333333,42.2500108,-73.6318613,2020-03-28 23:49 EDT
Madison,New York,29,12,1,1,0.0344828,42.9129075,-75.669789,2020-03-28 23:49 EDT
